LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 1.04
Lattice spacing in x,y,z = 0.98058068 0.98058068 0.98058068
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.49029034) to (19.611614 19.611614 0.49029034)
  4 by 2 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.49029034) to (19.611614 19.611614 0.49029034)
  create_atoms CPU = 0.001 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 31 31 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.048 | 3.048 | 3.048 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0.31182037     0              3.3043204      20.640986    
       500   2.9697068      2.1198913      0              5.0821738      40.782871    
      1000   3.2318684      1.6726423      0              4.8964311      35.231022    
      1500   3.1765249      1.7616755      0              4.930259       35.927558    
      2000   3.2321547      1.9334329      0              5.1575072      39.027759    
      2500   3.1110454      1.8035313      0              4.9067991      36.677755    
      3000   2.9843781      1.6208998      0              4.597817       33.737396    
      3500   2.9103004      1.7056729      0              4.6086975      34.305989    
      4000   2.9903186      1.6491814      0              4.6320242      34.151348    
      4500   2.9396605      1.6581432      0              4.5904545      33.96953     
      5000   2.8413516      1.6803168      0              4.514565       34.502194    
      5500   2.9293857      1.8450698      0              4.7671321      37.63058     
      6000   2.8831661      1.6333523      0              4.5093104      33.841303    
      6500   3.0094029      1.628762       0              4.6306414      34.04051     
      7000   2.9771501      1.5296602      0              4.4993674      32.511428    
      7500   2.9859432      1.4945389      0              4.4730172      32.194285    
      8000   2.9232847      1.6372617      0              4.5532383      33.743288    
      8500   3.04075        1.4820315      0              4.5151796      31.205994    
      9000   3.0123266      1.5743087      0              4.5791045      32.593239    
      9500   2.9127167      1.5869964      0              4.4924313      32.481526    
     10000   3.0618676      1.6478779      0              4.7020909      34.17488     
     10500   3.3578301      1.4935341      0              4.8429696      32.470927    
     11000   2.8792456      1.6635066      0              4.5355541      34.303792    
     11500   2.8026782      1.6590479      0              4.4547194      33.617356    
     12000   2.9082423      1.5809171      0              4.4818888      32.938533    
     12500   3.0634438      1.3963689      0              4.4521541      31.193939    
     13000   2.8162981      1.6243766      0              4.4336339      33.295168    
     13500   2.776943       1.6610403      0              4.4310409      34.080064    
     14000   2.8991697      1.3941608      0              4.2860826      31.377387    
     14500   3.0534093      1.5517343      0              4.5975101      33.027563    
     15000   2.9093779      1.6879137      0              4.5900181      35.138147    
     15500   3.0167307      1.707401       0              4.7165899      35.563216    
     16000   2.7565464      1.8297767      0              4.5794317      36.077531    
     16500   3.1388112      1.5990619      0              4.730026       34.673552    
     17000   3.205548       1.5249447      0              4.7224788      33.457926    
